"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","startUrl","symbols/0","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/ext_is_blue_verified","user/ext_verified_type","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_extensions_sensitive_media_warning","user/profile_banner_url","user/profile_image_extensions_sensitive_media_warning","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","view_count"
"1623361880466026496","2023-02-08T16:43:27.000Z","16","Yes, the GOP is crazy and the Dems are the normal ones.  How does the GOP feel after listening to Huckabees crazy speech, no mention of what the Republicans plan to do in the next year, because they have no plan, it's only revenge for them now.  Too many crazies in that party.",,,,,,,,,,"1623361880466026496",,,,,,,,,"0","10","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/terrigirl2/status/1623361880466026496",,,,"promotable_user",,,"none",,"false","2009-01-05T20:59:18.000Z","false","I am a proud mom of 4, --10 grandchildren ❤️3 great grandchildren. #Loves animals , #LGBTQ+🌈🌺Biden/Harris 2024,# vote all BLUE in ‘22🌊🌊","false","false",,"0","12858",,,"1980",,"3208","true","true","18645770","18645770","false","false",,"4","Melbourne, FL","1270",,"Theresa","1980",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/18645770/1545491495",,"http://pbs.twimg.com/profile_images/1076496555425722368/ffb1964V_normal.jpg","https://pbs.twimg.com/profile_images/1076496555425722368/ffb1964V_normal.jpg","000000","000000","000000","false","false","false","terrigirl2","24749",,"none",,,"false",,,,,,,,,,,,,,,,,"134"
"1623359124573388801","2023-02-08T16:32:30.000Z","76","to me the funniest thing is that he dgaf about these awards other than the normal amount of pride / happiness to be acknowledged. he did not campaign for aoty during voting period, no packages to voters, in his acceptance speech he literally said: I dont do music for this.",,,,,,,,,,"1623359124573388801",,,,,,,,,"1","3","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/chrryprettstbby/status/1623359124573388801",,,,"promotable_user",,,"none",,"false","2015-04-07T06:38:33.000Z","false","Safe space (she/her). 🪐🌈 (no conspiracy theorists)
antisocial musician
pinkandblueforever","false","false",,"0","153437",,,"1914",,"861","true","true","3142859379","3142859379","false","false",,"13","","3049",,"molly ᴴ","1914",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/3142859379/1666890888",,"http://pbs.twimg.com/profile_images/1577392312556130304/ulvhxO6y_normal.jpg","https://pbs.twimg.com/profile_images/1577392312556130304/ulvhxO6y_normal.jpg","000000","000000","000000","false","false","false","chrryprettstbby","78490",,"none",,,"false",,,,,,,,,,,,,,,,,"2397"
"1623351095354327043","2023-02-08T16:00:36.000Z","35","Didn't listen to her speech, but I hear Governor Sarah Huckabee Sanders thinks she's on the ""normal"" side?🫣😏",,,,,,,,,,"1623351095354327043",,,,,,,,,"7","4","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/scarflady777/status/1623351095354327043",,,,"promotable_user",,,"none",,"false","2015-01-15T22:41:47.000Z","false","Animals, Baking, Crochet, Sing 🎶, GUN SAFETY.  No bone spurs in my fam, they fought.  LGBTQ aunt 🌈. 💕my friends. Sunrise beachcomber. @KnitRainbow","false","false",,"0","154295",,,"4520",,"4995","false","true","2980507187","2980507187","false","false",,"6","New Jersey, USA","1016",,"Janice 🌷 Love is a Blue Wave 🌊💙","4520",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/2980507187/1669058822",,"http://pbs.twimg.com/profile_images/1616957407514460161/Vxi2Gru0_normal.jpg","https://pbs.twimg.com/profile_images/1616957407514460161/Vxi2Gru0_normal.jpg","000000","000000","000000","false","false","false","scarflady777","22258",,"none","https://t.co/UWuH3IlbZc",,"false",,,,,,,,,,,,,,,,,"495"
"1623338497850642432","2023-02-08T15:10:32.000Z","16","#ArkansasGovernor 
Sarah Huckabee Sanders gave a wonderful speech last night which describes hope in America  it will be nice someday to get that kinda leadership running our country again
👇👇

https://t.co/0Cdsea8Xth","ArkansasGovernor",,,,,,,,,"1623338497850642432",,,,,,,,,"1","2","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/TrueJMitchell/status/1623338497850642432","foxnews.com/politics/sarah…","https://www.foxnews.com/politics/sarah-sanders-delivers-gop-rebuttal-biden-state-of-union-americans-choice-normal-crazy","https://t.co/0Cdsea8Xth","promotable_user",,,"none",,"false","2019-07-07T01:25:12.000Z","false","#SpacesHost  Conservative Freedom Thinker 

Host of 🎙The Conservative Political Forum 🎙 @Cpoliticalforum

And Host of 🌜Late Night Garage🌛 Political Talk","false","true",,"0","54241",,,"6452",,"6999","false","true","1147677914986471400","1147677914986471424","false","false",,"14","Washington, USA","1462",,"(Jason) Stands For Truth","6452",,"F5F8FA",,,"false",,"https://pbs.twimg.com/profile_banners/1147677914986471424/1671449981",,"http://pbs.twimg.com/profile_images/1588935109172170752/AJKMQ8XR_normal.jpg","https://pbs.twimg.com/profile_images/1588935109172170752/AJKMQ8XR_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","TrueJMitchell","22854",,"none","https://t.co/CnSgXJQQ5p",,"false",,,,,,,,,,,,,,,,,"256"
"1623164042377416710","2023-02-08T13:16:02.000Z","8","@petestrzok And she referred to Republicans as ""normal"" in her speech. I guess terroristic acts and associations is the new normal.",,,,,,,,,,"1623309682264756226",,,,,,,,,"0","2","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/cathyob1/status/1623309682264756226",,,,"none",,,"none",,"false","2012-10-15T23:22:44.000Z","false","I miss decency. I miss honesty. I miss class. I miss respect. I miss kindness. I miss empathy. I miss optimism. I miss America.","false","false",,"0","665441",,,"11076",,"11507","false","true","883316162","883316162","false","false",,"38","Jersey Shore","1823",,"CathyO ☮","11076",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/883316162/1510963501",,"http://pbs.twimg.com/profile_images/986764215955443713/d6aIX6xo_normal.jpg","https://pbs.twimg.com/profile_images/986764215955443713/d6aIX6xo_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","cathyob1","207213",,"none",,,"false",,"1025333759573471233","Pete Strzok","petestrzok",,,,,,,,,,,,,"50"
"1623288705073938440","2023-02-08T13:03:29.000Z","21","@JonBramnick She said exactly what normal Americans watching this farce of a speech were thinking.",,,,,,,,,,"1623306524465459204",,,,,,,,,"3","3","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/joalexa/status/1623306524465459204",,,,"none",,,"none",,"false","2009-03-29T20:07:27.000Z","false","Normal/NotACrazy","false","false",,"0","2285",,,"188",,"503","true","false","27492857","27492857","false","false",,"1","","307",,"Dr. Codeword Lilly","188",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/27492857/1630881478",,"http://pbs.twimg.com/profile_images/1097240836742569984/xFIjmbij_normal.jpg","https://pbs.twimg.com/profile_images/1097240836742569984/xFIjmbij_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","joalexa","5884",,"none",,,"false",,"23365981","Jon Bramnick","JonBramnick",,,,,,,,,,,,,"421"
"1623169339003117577","2023-02-08T04:03:54.000Z","199","@imillhiser Not “right vs left” but “crazy vs normal” expect to hear more of that because it’s true. Good speech.",,,,,,,,,,"1623170732443283457",,,,,,,,,"113","4","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/repmattdean/status/1623170732443283457",,,,"promotable_user",,,"none",,"false","2009-05-07T17:22:39.000Z","false","Rice Streeter, Ranger, Gopher, Scalia Republican.","false","false",,"0","6408",,,"6352",,"2756","false","true","38473231","38473231","false","false",,"189","Minnesota, USA","51",,"Matt Dean","6352",,"9AE4E8","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","true",,"https://pbs.twimg.com/profile_banners/38473231/1567468604",,"http://pbs.twimg.com/profile_images/1132646639439683585/BDB8Xl88_normal.jpg","https://pbs.twimg.com/profile_images/1132646639439683585/BDB8Xl88_normal.jpg","BDDCAD","DDFFCC","333333","true","false","false","repmattdean","119",,"none",,,"true",,"26165922","Ian Millhiser","imillhiser",,,,,,,,,,,,,"47943"
"1623138192223264768","2023-02-08T01:54:36.000Z","117","harry is so kind and genuine and humble and such a gracious person, and will always be cheering for those against him in awards, and a never saying a bad word about anybody, but somehow, HE’S THE VILLAIN? like how tf",,,,,,,,,,"1623138192223264768",,,,,,,,,"1","15","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/musicforapoet/status/1623138192223264768",,,,"promotable_user",,,"none",,"false","2012-11-24T20:50:02.000Z","false","#HARRY: here comes the sun, du dun doo doo, here comes the sun, i say… it’s alright :D (she/her, 24) (fan account)","false","false",,"0","63585",,,"4467",,"2367","false","true","968771628","968771628","false","false",,"191","harriehome! harry’s house!","11061",,"rach! 💌 is PROUD OF HARRY!","4467",,"642D8B","http://abs.twimg.com/images/themes/theme10/bg.gif","https://abs.twimg.com/images/themes/theme10/bg.gif","true",,"https://pbs.twimg.com/profile_banners/968771628/1675207369",,"http://pbs.twimg.com/profile_images/1620484743069372416/T9X7A-nd_normal.jpg","https://pbs.twimg.com/profile_images/1620484743069372416/T9X7A-nd_normal.jpg","FFFFFF","7AC3EE","3D1957","true","false","false","musicforapoet","74745",,"none","https://t.co/qnMjTjj8U2",,"false",,,,,,,,,,,,,,,,,"4952"
"1622750410686730240","2023-02-07T00:13:41.000Z","60","You guys ever think about how Heero, trying to fit in as a completely normal 15 year-old kid, chose to contemplate the brief and shallow existence of man within a perpetual and unstoppable war machine for his introduction speech?

And topped it off by taking Duo's name to do it? https://t.co/eAJ7N5251q",,,,,,,,,,"1622750410686730240","https://pbs.twimg.com/media/FoUqC0ZaYAEBRxi.png","photo",,,,,,,"7","12","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/theOPMeats/status/1622750410686730240",,,,"none",,,"none",,"false","2018-02-26T12:39:28.000Z","false","Creators of Mobile Suit Abridged: Gundam Wing and Dragonball Abridged: Goku Time. We're directors, writers and actors just trying to make cool stuff.","false","false",,"0","1760",,,"676",,"139","false","true","968103217560109000","968103217560109056","false","false",,"2","Portland, OR","277",,"Operation Meatier","676",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false",,"https://pbs.twimg.com/profile_banners/968103217560109056/1562804242",,"http://pbs.twimg.com/profile_images/1247584689952419842/2Or40Saj_normal.jpg","https://pbs.twimg.com/profile_images/1247584689952419842/2Or40Saj_normal.jpg","000000","000000","000000","false","false","false","theOPMeats","963",,"none","https://t.co/KMVtdIgBL0",,"false",,,,,,,,,,,,,,,,,"959"
"1622607251121864704","2023-02-06T15:34:13.000Z","738","@EndWokeness It’s a normal expression of free speech, part of a free society. Just admit you’re insecure in your own beliefs and feel threatened by the fact that people disagree with you.",,,,,,,,,,"1622619680899751936",,,,,,,,,"115","11","https://twitter.com/search?q=normal%20speech&src=typed_query",,"https://twitter.com/FriendlyBrain1/status/1622619680899751936",,,,"none",,,"none",,"false","2008-12-31T05:56:34.000Z","false","Coastline designer. Magrathean. Award winner for the fjords of Norway.","false","false",,"0","18221",,,"133",,"756","true","false","18500532","18500532","false","false",,"9","Brookings, SD","93",,"Slartibartfast","133",,"C6E2EE","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","true",,"https://pbs.twimg.com/profile_banners/18500532/1671176274",,"http://pbs.twimg.com/profile_images/1115637171/image_normal.jpg","https://pbs.twimg.com/profile_images/1115637171/image_normal.jpg","C6E2EE","DAECF4","663B12","true","false","false","FriendlyBrain1","7396",,"none","https://t.co/vhkdCfefET",,"false",,"1552795969959636992","End Wokeness","EndWokeness",,,,,,,,,,,,,"36708"
